NAME,DISTRICT,Previously held by,CYCLECAND,CURCAND,PARTY,INCUMBENCY,Netreceipts,NetDisbments,Inidv,ECOH,CandContrib,CandLoan,CandLoanRepay,DebtOwed,EndDate
"Reinmann, Jessica",NY 017,R,Y,1,D,Not an Incumbent,"504,937.00","328,711.00","420,222.00","176,226.00",115000,120000,120000,0,12/31/2025
"Flores, Mayra",TX 034,D,Y,1,R,Not an Incumbent,"1,160,512.42","995,903.42","1,085,289.00","167,437.00",0,0,0,0,12/31/2025
"Strickler, Matt",VA 002,R,Y,1,D,Not an Incumbent,"218,114.00","64,369.00","217,114.00","153,744.00",0,0,0,0,12/31/2025
"Devanath, Nila",VA 002,R,Y,1,D,Not an Incumbent,"199,810.25","49,258.25","191,560.00","150,552.00",7000,0,0,0,12/31/2025
"Salas, Rudy",CA 022,R,Y,1,D,Not an Incumbent,"13,477.27","69,451.27","6,477.00","150,468.00",0,0,0,0,12/31/2025
"Swoboda, Gina",AZ 001,R,Y,1,R,Not an Incumbent,"201,755.00","54,482.00","195,655.00","147,272.00",100,0,0,0,12/31/2025
"Nadeem, Alea",OH 009,D,Y,1,R,Not an Incumbent,"498,487.10","373,238.10","459,521.00","125,249.00",0,0,0,0,12/31/2025
"Obando-Derstine, Carol",PA 007,R,Y,1,D,Not an Incumbent,"424,431.86","300,923.86","364,051.00","123,508.00",1295,12500,0,12500,12/31/2025
"Osyf, James",VA 002,R,Y,1,D,Not an Incumbent,"380,148.43","271,139.43","373,655.00","109,009.00",7000,0,0,28500,12/31/2025
"Gordon, Mark",AZ 001,R,Y,1,D,Not an Incumbent,"253,777.00","168,078.00","240,758.00","85,699.00",3899,0,0,0,12/31/2025
"Berge, Emily",WI 003,R,Y,1,D,Not an Incumbent,"388,034.00","318,226.00","386,902.00","69,808.00",1053,0,0,0,12/31/2025
"Pinsley, Mark",PA 007,R,Y,1,D,Not an Incumbent,"125,194.00","75,177.00","124,694.00","50,017.00",0,0,0,-1567,12/31/2025
"Sullivan, John",NY 017,R,Y,1,D,Not an Incumbent,"442,548.12","402,233.12","439,321.00","40,314.00",3657,0,0,37472,12/31/2025
"Sooy, Sara",NJ 007,R,Y,1,D,Not an Incumbent,"43,709.00","7,638.00","42,209.00","36,070.00",0,1500,0,1500,12/31/2025
"Adubato Ph.D., Beth",NJ 007,R,Y,1,D,Not an Incumbent,"111,680.00","78,377.00","44,037.00","33,303.00",969,66800,0,69535,12/31/2025
"Kinsel, Wayne",OH 009,D,Y,1,R,Not an Incumbent,"90,564.00","57,544.00","36,371.00","33,020.00",52193,0,0,0,9/30/2025
"Williamson, Michael",VA 002,R,Y,1,D,Not an Incumbent,"322,899.00","293,373.00","321,152.00","29,525.00",2902,0,0,0,12/31/2025
"Phillips-Staley, Effie",NY 017,R,Y,1,D,Not an Incumbent,"301,606.00","282,071.00","136,668.00","29,478.00",0,100000,0,165000,12/31/2025
"Sacks, Mike",NY 017,R,Y,1,D,Not an Incumbent,"270,938.72","245,884.72","270,964.00","25,054.00",0,0,0,0,12/31/2025
"Young, David",CO 008,R,Y,1,D,Not an Incumbent,"195,629.00","172,509.00","195,320.00","23,120.00",233,0,0,0,12/31/2025
"Porter, Ferguson",CA 048,R,Y,1,D,Not an Incumbent,"63,492.00","40,954.00","43,563.00","22,537.00",0,3130,0,16799,9/30/2025
"Cappello, John",NY 017,R,Y,1,D,Not an Incumbent,"52,800.00","33,150.00","52,800.00","19,649.00",0,0,0,14183,12/31/2025
"Vartan Iii, Gregory",NJ 007,R,Y,1,D,Not an Incumbent,"192,000.61","201,650.61","188,860.00","18,459.00",3500,0,0,0,12/31/2025
"Chavez, Abel",CA 048,R,Y,1,D,Not an Incumbent,"202,226.17","185,323.17","150,469.00","16,902.00",16550,34862,0,44,12/31/2025
"Douglas, Justin",PA 010,R,Y,1,D,Not an Incumbent,"84,690.00","70,317.00","84,901.00","14,372.00",0,0,0,0,12/31/2025
"Contreras, Corinna",CA 048,R,Y,1,D,Not an Incumbent,"12,922.00","1,163.00","12,422.00","11,758.00",500,0,0,0,12/31/2025
"Pautsch, David",IA 001,R,Y,1,R,Not an Incumbent,"44,000.00","38,107.00","27,500.00","11,590.00",0,16500,0,16500,12/31/2025
"Rosas Ph.D., Etienne",TX 034,D,Y,1,D,Not an Incumbent,"16,920.00","7,228.00","16,820.00","9,691.00",100,0,0,0,9/30/2025
"Hennrich, Brent",WA 003,D,Y,1,D,Not an Incumbent,"68,099.00","61,039.00","68,099.00","7,638.00",0,0,0,0,12/31/2025
"Benjamin, Laura",WI 003,R,Y,1,D,Not an Incumbent,"31,633.36","24,940.36","21,917.00","6,693.00",0,10000,0,10000,9/30/2025
"Harman, Isabelle",PA 010,R,Y,1,I,Not an Incumbent,"33,032.00","26,535.00","7,161.00","6,496.00",2250,22420,0,29750,12/31/2025
"Derito, Adam",CO 008,R,Y,1,R,Not an Incumbent,"26,608.00","20,390.00","7,156.00","6,218.00",0,19451,0,19451,12/31/2025
"Terrell, Travis",IA 001,R,Y,1,D,Not an Incumbent,"12,940.00","6,893.00","12,890.00","6,143.00",50,0,0,0,9/30/2025
"Dickerson, Trevor",AZ 006,R,Y,1,I,Not an Incumbent,"14,630.00","8,554.00","4,722.00","5,575.00",0,14629,0,14629,9/30/2025
"Barran, Antony",WA 003,D,Y,1,R,Not an Incumbent,"43,071.00","38,000.00","43,071.00","5,071.00",0,0,0,0,12/31/2025
"Dalton Ms., Karen",PA 010,R,Y,1,R,Not an Incumbent,"11,120.00","7,262.00","5,090.00","3,857.00",5,6025,0,6025,12/31/2025
"Cowen, Josh",MI 007,R,Y,1,D,Not an Incumbent,"180,186.00","176,388.00","199,446.00","3,797.00",0,0,0,0,12/31/2025
"Donat, Chris",AZ 006,R,Y,1,D,Not an Incumbent,"21,061.00","17,288.00","19,309.00","3,773.00",1752,0,0,0,12/31/2025
"Iannarino, Marc",CA 048,R,Y,1,D,Not an Incumbent,"40,354.00","36,821.00","40,394.00","3,532.00",0,0,0,0,12/31/2025
"Allen, Keith",TX 034,D,Y,1,R,Not an Incumbent,"95,011.51","93,212.51","18,208.00","2,743.00",2920,90363,16480,73883,12/31/2025
"Oglesby-Henry, Rosemary",OH 001,D,Y,1,R,Not an Incumbent,"41,640.00","39,209.00","39,137.00","2,430.00",2502,0,0,0,12/31/2025
"Sowers, Brandon",AZ 001,R,Y,1,R,Not an Incumbent,"16,736.00","14,781.00","4,632.00","1,955.00",12104,0,0,0,12/31/2025
"Morrison, Curtis",CA 048,R,Y,1,D,Not an Incumbent,"26,844.00","25,422.00","19,806.00","1,422.00",7037,0,0,9372,12/31/2025
"Shanahan, Whitney",CA 048,R,Y,1,D,Not an Incumbent,"4,174.00","2,984.00","1,074.00","1,385.00",0,3100,0,3100,12/31/2025
"Mosolf, Patrick",VA 002,R,Y,1,D,Not an Incumbent,"24,457.00","23,132.00","2,110.00","1,325.00",0,22647,300,22347,12/31/2025
"Hancock Jr, John",OH 001,D,Y,1,L,Not an Incumbent,"1,316.00",0,176,"1,316.00",1139,0,0,0,12/31/2025
"Kunkle Jr., Gregory",TX 034,D,Y,1,R,Not an Incumbent,"9,155.00","7,853.00","1,300.00","1,301.00",0,0,0,0,12/31/2025
"Lucio, Daniel",AZ 001,R,Y,1,D,Not an Incumbent,"2,501.00","1,461.00","1,265.00","1,040.00",0,1236,0,1236,12/31/2025
"Montoya, Angie",AZ 001,R,Y,1,D,Not an Incumbent,"3,768.00","3,110.00",658,658,3110,0,0,0,12/31/2025
"Garcia, Eric",CA 022,R,Y,1,D,Not an Incumbent,593,0,590,593,0,0,0,20910,12/31/2025
"Buentello, Luis",TX 034,D,Y,1,R,Not an Incumbent,"20,515.00","19,995.00","20,515.00",519,0,0,0,0,12/31/2025
"Garth, Michael",NJ 007,R,Y,1,D,Not an Incumbent,500,61,0,438,500,0,0,0,6/7/2025
"Sleister, Nicolaus",VA 002,R,Y,1,D,Not an Incumbent,"5,024.00","4,888.00","2,054.00",135,2970,0,0,0,9/30/2025
"Reevs, Paul",AZ 001,R,Y,1,R,Not an Incumbent,"38,730.00","38,730.00","22,700.00",0,5150,82750,49170,0,1/26/2026
"Hinojosa Jr., Alfredo",TX 034,D,Y,1,R,Not an Incumbent,"33,057.00","33,057.00","36,057.00",0,0,0,0,0,1/31/2026
"Garza, Mauro",TX 034,D,Y,1,R,Not an Incumbent,"12,502.00","12,659.00","1,000.00",0,0,11502,0,0,12/31/2025
"Del Vecchio, Brian",AZ 001,R,Y,1,D,Not an Incumbent,"9,835.00","9,835.00","9,835.00",0,0,5497,5497,0,8/17/2025
"Till Dr., Suzanne",CA 048,R,Y,1,D,Not an Incumbent,"6,853.00","6,853.00","6,499.00",0,354,0,0,0,12/4/2025
"Mendoza Esq., Valentina",NJ 007,R,Y,1,D,Not an Incumbent,"1,380.00","2,094.00",750,0,0,0,0,0,1/11/2026
"Redkey, David",AZ 001,R,Y,1,D,Not an Incumbent,0,0,0,0,0,0,0,0,12/31/2025
"Lillich, William",PA 010,R,Y,1,D,Not an Incumbent,0,0,0,0,0,0,0,0,9/30/2025
"Nagy, Jay",TX 034,D,Y,1,R,Not an Incumbent,"1,157.00","8,095.00","8,121.00","-6,937.00",0,0,0,0,12/31/2025
