NAME,DISTRICT,OFFICE,CYCLECAND,CURCAND,PARTY,INCUMBENCY,Netreceipts,NetDisbments,Inidv,ECOH,CandContrib,CandLoan,CandLoanRepay,DebtOwed,EndDate,,#REF!
"Miller-Meeks, Mariannette",IA 001,US HOUSE,Y,1,R,Incumbent,"4,115,845.96","1,138,549.96","1,498,550.00","3,351,039.00",0,0,0,0,12/31/2025,,
"Zinke, Ryan",MT 001,US HOUSE,Y,1,R,Incumbent,"4,059,335.98","1,940,622.98","2,753,516.00","2,799,244.00",0,0,0,0,12/31/2025,,
"Gendebien, Blake",NY 021,US HOUSE,Y,1,D,Not an Incumbent,"4,010,542.26","2,047,795.26","3,997,298.00","2,215,088.00",20,0,0,0,12/31/2025,,
"Ciscomani, Juan",AZ 006,US HOUSE,Y,1,R,Incumbent,"3,891,338.07","976,102.07","1,365,470.00","3,151,796.00",0,0,0,0,12/31/2025,,
"Smith, Jason",MO 008,US HOUSE,Y,1,R,Incumbent,"3,764,860.00","2,084,362.00","1,125,039.00","4,697,642.00",0,0,0,0,12/31/2025,,
"Barrett, Tom",MI 007,US HOUSE,Y,1,R,Incumbent,"3,743,056.00","1,569,850.00","1,948,162.00","2,195,305.00",0,0,0,8724,12/31/2025,,
"Kiggans, Jen",VA 002,US HOUSE,Y,1,R,Incumbent,"3,550,444.88","1,278,009.88","1,622,386.00","2,317,912.00",0,0,0,77922,12/31/2025,,
"Fine, Randy",FL 006,US HOUSE,Y,1,R,Incumbent,"3,504,619.24","2,868,343.24","2,048,978.00","636,275.00",0,950000,0,983567,12/31/2025,,
"Ryan, Pat",NY 018,US HOUSE,Y,1,D,Incumbent,"3,360,225.87","979,393.87","2,795,512.00","2,548,022.00",0,0,0,0,12/31/2025,,
"Oberweis, James",FL 019,US HOUSE,Y,1,R,Not an Incumbent,"3,348,925.71","408,856.71","193,604.00","2,940,069.00",2050,3100000,0,3100000,12/31/2025,,
"Steil, Bryan",WI 001,US HOUSE,Y,1,R,Incumbent,"3,334,140.84","650,861.84","801,431.00","4,902,448.00",0,0,0,0,12/31/2025,,
"Arquette, Adam",KY 006,US HOUSE,Y,1,R,Not an Incumbent,"3,329,000.00","1,667,032.00",0,"1,661,968.00",3300000,29000,0,29000,12/31/2025,,
"Mcdonald Rivet, Kristen",MI 008,US HOUSE,Y,1,D,Incumbent,"3,257,849.59","644,648.59","2,027,925.00","2,630,231.00",0,0,0,0,12/31/2025,,
"De La Cruz, Monica",TX 015,US HOUSE,Y,1,R,Incumbent,"3,254,122.81","1,855,571.81","2,054,578.00","2,012,521.00",84,0,0,0,12/31/2025,,
"Kean, Tom",NJ 007,US HOUSE,Y,1,R,Incumbent,"3,217,539.31","796,344.31","1,416,993.00","2,469,481.00",0,0,0,0,12/31/2025,,
"Suozzi, Tom",NY 003,US HOUSE,Y,1,D,Incumbent,"3,213,284.24","766,367.24","2,107,465.00","4,481,257.00",0,0,0,0,12/31/2025,,
"Mcbride, Sarah",DE 001,US HOUSE,Y,1,D,Incumbent,"3,173,637.88","1,168,817.88","2,727,763.00","2,211,946.00",0,0,0,0,12/31/2025,,
"O'donnell, Marty",NV 003,US HOUSE,Y,1,R,Not an Incumbent,"3,146,758.09","398,887.09","112,459.00","2,747,871.00",7000,3000000,0,3000000,12/31/2025,,
"Perez, Marie",WA 003,US HOUSE,Y,1,D,Incumbent,"3,145,377.61","747,824.61","1,513,345.00","2,424,013.00",0,0,0,0,12/31/2025,,
"Begich Iii, Nick",AK 001,US HOUSE,Y,1,R,Incumbent,"3,135,988.51","1,034,627.51","1,637,182.00","2,205,691.00",0,0,49236,375763,12/31/2025,,
"Guthrie, Brett",KY 002,US HOUSE,Y,1,R,Incumbent,"3,108,083.18","2,007,675.18","1,190,025.00","1,466,651.00",0,0,0,0,12/31/2025,,
"Hill, French",AR 002,US HOUSE,Y,1,R,Incumbent,"3,108,061.20","1,731,714.20","1,311,627.00","2,752,699.00",0,0,0,0,12/31/2025,,
"Omar, Ilhan",MN 005,US HOUSE,Y,1,D,Incumbent,"3,092,644.30","2,296,060.30","2,958,037.00","1,120,804.00",0,0,0,0,12/31/2025,,
"Riley, Josh",NY 019,US HOUSE,Y,1,D,Incumbent,"3,082,214.08","760,513.08","2,218,161.00","2,390,019.00",0,0,0,0,12/31/2025,,
"Mcclain, Lisa",MI 009,US HOUSE,Y,1,R,Incumbent,"3,055,549.94","2,077,929.94","1,695,927.00","1,584,476.00",0,0,325000,225000,12/31/2025,,
"Teixeira, Mark",TX 021,US HOUSE,Y,1,R,Not an Incumbent,"3,045,129.00","480,204.00","434,129.00","2,564,924.00",0,2500000,0,2500000,12/31/2025,,
"Valadao, David",CA 022,US HOUSE,Y,1,R,Incumbent,"3,033,787.00","958,577.00","803,757.00","2,120,745.00",0,0,0,0,12/31/2025,,
"Tran, Derek",CA 045,US HOUSE,Y,1,D,Incumbent,"3,017,098.65","1,058,514.65","2,137,014.00","2,285,906.00",0,0,0,25000,12/31/2025,,
"Aguilar, Pete",CA 033,US HOUSE,Y,1,D,Incumbent,"2,996,551.87","2,433,478.87","1,234,044.00","3,212,144.00",0,0,0,0,12/31/2025,,
"Evans, Timothy",CO 008,US HOUSE,Y,1,R,Incumbent,"2,994,290.79","518,339.79","914,762.00","2,550,943.00",0,0,0,53246,12/31/2025,,
"Ellzey, John",TX 006,US HOUSE,Y,1,R,Incumbent,"2,966,753.23","1,850,861.23","1,128,668.00","2,211,339.00",0,0,0,0,12/31/2025,,
"Bohannan, Christina",IA 001,US HOUSE,Y,1,D,Not an Incumbent,"2,961,456.01","762,906.01","2,726,050.00","2,305,766.00",7000,0,0,0,12/31/2025,,
"Liccardo, Sam",CA 016,US HOUSE,Y,1,D,Incumbent,"2,933,645.20","1,028,972.20","1,272,450.00","1,995,065.00",0,0,0,0,12/31/2025,,
"Bresnahan, Rob",PA 008,US HOUSE,Y,1,R,Incumbent,"2,922,536.28","1,538,550.28","1,150,836.00","1,437,137.00",19800,0,60000,897068,12/31/2025,,
"Patronis Jr., Jimmy",FL 001,US HOUSE,Y,1,R,Not an Incumbent,"2,914,383.05","2,518,669.05","2,510,494.00","395,714.00",0,12000,12000,0,12/31/2025,,
"Mendoza, Joanna",AZ 006,US HOUSE,Y,1,D,Not an Incumbent,"2,886,764.00","1,344,303.00","2,565,108.00","1,542,460.00",0,0,0,0,12/31/2025,,
"Yakym, Rudy",IN 002,US HOUSE,Y,1,R,Incumbent,"2,884,029.00","1,998,764.00","1,335,396.00","1,494,844.00",0,0,0,0,12/31/2025,,
"Perry, Scott",PA 010,US HOUSE,Y,1,R,Incumbent,"2,871,690.03","1,291,119.03","1,684,472.00","1,662,490.00",0,0,0,279643,12/31/2025,,
"Whitesides, George",CA 027,US HOUSE,Y,1,D,Incumbent,"2,855,960.29","864,249.29","2,071,167.00","2,318,443.00",0,0,0,1310000,12/31/2025,,
"Gillen, Laura",NY 004,US HOUSE,Y,1,D,Incumbent,"2,806,278.39","639,200.39","1,938,056.00","2,190,281.00",0,0,0,0,12/31/2025,,
"Wiener, Scott",CA 011,US HOUSE,Y,1,D,Not an Incumbent,"2,722,894.25","448,529.25","2,743,399.00","2,274,364.00",0,0,0,44968,12/31/2025,,
"Harder, Josh",CA 009,US HOUSE,Y,1,D,Incumbent,"2,711,817.14","632,690.14","2,067,563.00","3,767,957.00",0,0,0,0,12/31/2025,,
"Clark, Katherine",MA 005,US HOUSE,Y,1,D,Incumbent,"2,704,090.04","2,002,236.04","737,386.00","2,027,744.00",0,0,0,0,12/31/2025,,
"Abughazaleh, Katherine",IL 009,US HOUSE,Y,1,D,Not an Incumbent,"2,698,254.68","1,887,301.68","2,702,469.00","810,953.00",0,0,0,13000,12/31/2025,,
"Nunn, Zach",IA 003,US HOUSE,Y,1,R,Incumbent,"2,614,010.77","684,874.77","637,829.00","1,981,969.00",0,0,0,0,12/31/2025,,
"Reschenthaler, Guy",PA 014,US HOUSE,Y,1,R,Incumbent,"2,610,465.46","2,395,173.46","1,551,586.00","764,371.00",0,0,0,0,12/31/2025,,
"Mackenzie, Ryan",PA 007,US HOUSE,Y,1,R,Incumbent,"2,544,258.83","816,510.83","958,995.00","1,830,988.00",0,0,0,31685,12/31/2025,,
"Lahood, Darin",IL 016,US HOUSE,Y,1,R,Incumbent,"2,522,585.20","1,544,153.20","610,265.00","6,499,714.00",0,0,0,0,12/31/2025,,
"Jones, Eric",CA 004,US HOUSE,Y,1,D,Not an Incumbent,"2,509,050.00","706,649.00","2,227,418.00","1,802,400.00",364133,0,0,34211,12/31/2025,,
"Min, Dave",CA 047,US HOUSE,Y,1,D,Incumbent,"2,484,200.35","771,070.35","1,919,884.00","1,886,196.00",0,0,0,4709,12/31/2025,,
"Jordan, Jim",OH 004,US HOUSE,Y,1,R,Incumbent,"2,483,232.60","3,410,315.60","1,714,630.00","6,559,797.00",0,0,0,0,12/31/2025,,
"Rutinel, Manny",CO 008,US HOUSE,Y,1,D,Not an Incumbent,"2,481,539.84","1,277,653.84","2,494,620.00","1,203,885.00",0,0,0,0,12/31/2025,,
"Wittman, Rob",VA 001,US HOUSE,Y,1,R,Incumbent,"2,472,054.38","668,941.38","925,805.00","3,178,993.00",0,0,0,0,12/31/2025,,
"Cole, Tom",OK 004,US HOUSE,Y,1,R,Incumbent,"2,444,519.50","1,724,006.50","1,445,601.00","2,500,786.00",0,0,0,0,12/31/2025,,
"Lee, Susie",NV 003,US HOUSE,Y,1,D,Incumbent,"2,422,225.94","537,266.94","1,525,722.00","2,351,613.00",0,0,0,0,12/31/2025,,
"Auchincloss, Jake",MA 004,US HOUSE,Y,1,D,Incumbent,"2,413,797.17","633,332.17","1,498,656.00","6,763,691.00",0,0,0,0,12/31/2025,,
"Varet, Esther",CA 040,US HOUSE,Y,1,D,Not an Incumbent,"2,378,109.97","1,216,492.97","1,761,643.00","1,161,617.00",207000,385000,0,435208,12/31/2025,,
"Hurd, Jeffrey",CO 003,US HOUSE,Y,1,R,Incumbent,"2,375,406.78","812,661.78","1,292,315.00","1,573,048.00",0,0,0,0,12/31/2025,,
"Massie, Thomas",KY 004,US HOUSE,Y,1,R,Incumbent,"2,374,281.76","1,092,562.76","2,356,004.00","2,188,729.00",0,0,0,0,12/31/2025,,
"Mast, Brian",FL 021,US HOUSE,Y,1,R,Incumbent,"2,365,357.00","1,835,180.00","1,814,556.00","2,301,554.00",0,0,0,0,12/31/2025,,
"Huizenga, Bill",MI 004,US HOUSE,Y,1,R,Incumbent,"2,358,858.62","869,886.62","891,475.00","1,598,012.00",0,0,0,0,12/31/2025,,
"Lalota, Nick",NY 001,US HOUSE,Y,1,R,Incumbent,"2,355,032.36","452,285.36","704,160.00","2,578,824.00",0,0,0,0,12/31/2025,,
"Levin, Mike",CA 049,US HOUSE,Y,1,D,Incumbent,"2,332,618.61","1,245,554.61","1,879,342.00","1,356,801.00",0,0,0,0,12/31/2025,,
"Davids, Sharice",KS 003,US HOUSE,Y,1,D,Incumbent,"2,310,217.78","1,440,436.78","1,787,224.00","1,273,036.00",0,0,0,0,12/31/2025,,
"Gray, Adam",CA 013,US HOUSE,Y,1,D,Incumbent,"2,304,899.53","1,247,369.53","1,332,622.00","1,249,487.00",0,0,0,23473,12/31/2025,,
"Goodlander, Maggie",NH 002,US HOUSE,Y,1,D,Incumbent,"2,301,249.58","751,572.58","1,960,200.00","1,607,675.00",0,0,0,0,12/31/2025,,
"Shreve, Jefferson",IN 006,US HOUSE,Y,1,R,Incumbent,"2,294,411.50","306,699.50","105,766.00","2,119,426.00",0,2000000,0,7900000,12/31/2025,,
"Bynum, Janelle",OR 005,US HOUSE,Y,1,D,Incumbent,"2,268,317.89","553,253.89","1,239,000.00","1,760,196.00",0,0,0,0,12/31/2025,,
"Harris, Shawn",GA 014,US HOUSE,Y,1,D,Not an Incumbent,"2,251,755.00","1,518,392.00","2,249,067.00","733,363.00",0,0,0,0,12/31/2025,,
"Bores, Alexander",NY 012,US HOUSE,Y,1,D,Not an Incumbent,"2,228,188.00","182,880.00","2,235,578.00","2,045,307.00",0,0,0,0,12/31/2025,,
"Menefee, Christian",TX 018,US HOUSE,Y,1,D,Not an Incumbent,"2,221,444.68","1,832,704.68","2,085,346.00","388,739.00",100,0,0,0,1/11/2026,,
"Wagner, Ann",MO 002,US HOUSE,Y,1,R,Incumbent,"2,213,214.61","1,098,135.61","1,318,850.00","4,226,307.00",0,0,0,0,12/31/2025,,
"Jackson, Ronny",TX 013,US HOUSE,Y,1,R,Incumbent,"2,210,769.77","1,049,274.77","1,632,793.00","4,563,442.00",0,0,0,0,12/31/2025,,
"Stelson, Janelle",PA 010,US HOUSE,Y,1,D,Not an Incumbent,"2,185,236.05","679,766.05","1,934,676.00","1,520,707.00",0,0,0,0,12/31/2025,,
"Hudson Jr, Richard",NC 009,US HOUSE,Y,1,R,Incumbent,"2,158,132.35","1,611,177.35","575,557.00","1,178,688.00",0,0,0,0,12/31/2025,,
"Pfluger, August",TX 011,US HOUSE,Y,1,R,Incumbent,"2,156,704.00","1,647,253.00","516,539.00","2,833,557.00",0,0,0,0,12/31/2025,,
"Frost, Maxwell",FL 010,US HOUSE,Y,1,D,Incumbent,"2,134,637.82","2,064,461.82","1,981,938.00","1,161,902.00",4250,0,0,0,12/31/2025,,
"Carey, Mike",OH 015,US HOUSE,Y,1,R,Incumbent,"2,099,657.31","703,778.31","539,153.00","1,557,173.00",0,0,0,0,12/31/2025,,
"Finnie, Shaun",TX 002,US HOUSE,Y,1,D,Not an Incumbent,"2,093,931.00","662,934.00","568,105.00","1,430,996.00",0,1526000,0,1526000,12/31/2025,,
"Treble, Jonathan",AZ 001,US HOUSE,Y,1,D,Not an Incumbent,"2,078,343.00","533,786.00","1,038,269.00","1,544,557.00",1018252,0,0,0,12/31/2025,,
"Goldman, Dan",NY 010,US HOUSE,Y,1,D,Incumbent,"2,077,834.94","1,204,560.94","1,452,264.00","1,805,522.00",0,0,0,4888468,12/31/2025,,
"Davis, Don",NC 001,US HOUSE,Y,1,D,Incumbent,"2,070,344.63","407,632.63","1,007,749.00","1,933,552.00",0,0,0,0,12/31/2025,,
"Schneider, Brad",IL 010,US HOUSE,Y,1,D,Incumbent,"2,067,210.01","1,320,658.01","1,167,384.00","1,717,977.00",0,0,0,0,12/31/2025,,
"Kiley, Kevin",CA 003,US HOUSE,Y,1,R,Incumbent,"2,062,085.10","391,927.10","1,329,797.00","2,051,136.00",5,0,0,9837,12/31/2025,,
"Delbene, Suzan",WA 001,US HOUSE,Y,1,D,Incumbent,"2,048,401.55","1,747,695.55","1,036,999.00","1,364,426.00",0,0,0,495000,12/31/2025,,
"Buckhout, Laurie",NC 001,US HOUSE,Y,1,R,Not an Incumbent,"2,021,889.12","27,161.12","9,363.00","2,021,031.00",1740,2001000,0,3501000,12/31/2025,,
"Thompson, Mike",CA 004,US HOUSE,Y,1,D,Incumbent,"1,997,645.32","1,273,230.32","1,036,900.00","1,933,903.00",0,0,0,77035,12/31/2025,,
"Koh, Daniel",MA 006,US HOUSE,Y,1,D,Not an Incumbent,"1,989,645.00","185,194.00","1,918,185.00","1,805,789.00",66578,1000,0,69000,12/31/2025,,
"Vasquez, Gabe",NM 002,US HOUSE,Y,1,D,Incumbent,"1,989,608.44","738,510.44","1,210,754.00","1,290,182.00",0,0,0,0,12/31/2025,,
"Biss, Daniel",IL 009,US HOUSE,Y,1,D,Not an Incumbent,"1,970,201.94","593,896.94","1,913,366.00","1,376,304.00",3205,0,0,0,12/31/2025,,
"Horsford, Steven",NV 004,US HOUSE,Y,1,D,Incumbent,"1,942,133.23","1,190,911.23","785,012.00","757,511.00",0,0,0,10500,12/31/2025,,
"Bennett, Rebecca",NJ 007,US HOUSE,Y,1,D,Not an Incumbent,"1,940,198.09","767,505.09","1,821,233.00","1,172,693.00",0,0,0,0,12/31/2025,,
"Grijalva, Adelita",AZ 007,US HOUSE,Y,1,D,Incumbent,"1,931,967.24","1,556,427.24","1,589,509.00","375,540.00",0,0,0,0,12/31/2025,,
"Tenney, Claudia",NY 024,US HOUSE,Y,1,R,Incumbent,"1,927,006.92","1,138,572.92","770,769.00","1,143,435.00",0,0,0,0,12/31/2025,,
"Fine, Laura",IL 009,US HOUSE,Y,1,D,Not an Incumbent,"1,911,497.84","471,527.84","1,899,148.00","1,439,970.00",7000,0,0,0,12/31/2025,,
"Conley, Cait",NY 017,US HOUSE,Y,1,D,Not an Incumbent,"1,907,157.00","680,646.00","1,697,034.00","1,226,510.00",7000,0,0,0,12/31/2025,,
"Bondar, Paul",TX 032,US HOUSE,Y,1,R,Not an Incumbent,"1,905,588.00","296,628.00","2,924.00","1,608,959.00",0,1902663,0,1902663,12/31/2025,,
"Garbarino, Andrew",NY 002,US HOUSE,Y,1,R,Incumbent,"1,905,407.25","1,094,551.25","350,443.00","2,356,462.00",0,0,0,0,12/31/2025,,
"Hern, Kevin",OK 001,US HOUSE,Y,1,R,Incumbent,"1,895,468.00","820,291.00","313,133.00","2,223,843.00",0,0,0,0,12/31/2025,,
"Gottheimer, Josh",NJ 005,US HOUSE,Y,1,D,Incumbent,"1,882,941.03","12,299,948.03","1,114,808.00","10,295,485.00",0,0,0,0,12/31/2025,,
"Sullivan, Maura",NH 001,US HOUSE,Y,1,D,Not an Incumbent,"1,868,266.73","762,088.73","1,798,754.00","1,113,400.00",0,0,0,0,12/31/2025,,
"Tlaib, Rashida",MI 012,US HOUSE,Y,1,D,Incumbent,"1,866,173.77","1,220,783.77","1,589,138.00","4,908,945.00",0,0,0,0,12/31/2025,,
"Schrier, Kim",WA 008,US HOUSE,Y,1,D,Incumbent,"1,844,536.07","729,302.07","1,301,076.00","2,936,857.00",0,0,0,0,12/31/2025,,
"Neguse, Joseph",CO 002,US HOUSE,Y,1,D,Incumbent,"1,831,284.11","957,487.11","1,090,585.00","2,864,693.00",0,0,0,0,12/31/2025,,
"Sykes, Emilia",OH 013,US HOUSE,Y,1,D,Incumbent,"1,830,398.50","653,489.50","1,046,592.00","1,299,587.00",0,0,0,0,12/31/2025,,
"Landsman, Greg",OH 001,US HOUSE,Y,1,D,Incumbent,"1,809,034.39","491,205.39","1,209,929.00","1,497,943.00",0,0,0,0,12/31/2025,,
"Van Epps, Matthew",TN 007,US HOUSE,Y,1,R,Incumbent,"1,792,587.03","1,730,872.03","1,347,432.00","61,715.00",0,0,0,168194,12/31/2025,,
"Friedman, Jason",IL 007,US HOUSE,Y,1,D,Not an Incumbent,"1,792,375.61","758,201.61","1,744,395.00","1,034,173.00",51750,0,0,0,12/31/2025,,
"Budzinski, Nikki",IL 013,US HOUSE,Y,1,D,Incumbent,"1,785,294.71","1,111,880.71","1,035,946.00","2,458,145.00",0,0,0,0,12/31/2025,,
"Schultz, Debbie Wasserman",FL 025,US HOUSE,Y,1,D,Incumbent,"1,773,222.58","863,204.58","1,371,104.00","1,967,326.00",0,0,0,0,12/31/2025,,
"Chakrabarti, Saikat",CA 011,US HOUSE,Y,1,D,Not an Incumbent,"1,768,638.00","1,656,372.00","298,247.00","112,266.00",1000,1470000,0,1470000,12/31/2025,,
"Pou, Nelida",NJ 009,US HOUSE,Y,1,D,Incumbent,"1,765,590.02","598,268.02","963,733.00","1,319,795.00",0,0,0,0,12/31/2025,,
"Gonzales, Tony",TX 023,US HOUSE,Y,1,R,Incumbent,"1,764,342.45","742,305.45","490,819.00","2,481,023.00",0,0,0,78073,12/31/2025,,
"Varela, Brian",NJ 007,US HOUSE,Y,1,D,Not an Incumbent,"1,759,374.79","335,790.79","607,368.00","1,423,583.00",10,1150000,0,1150000,12/31/2025,,
"Luna, Anna",FL 013,US HOUSE,Y,1,R,Incumbent,"1,738,415.70","786,077.70","784,760.00","1,083,753.00",0,0,0,0,12/31/2025,,
"Bronin, Luke",CT 001,US HOUSE,Y,1,D,Not an Incumbent,"1,736,062.39","255,477.39","1,737,562.00","1,480,585.00",0,0,0,0,12/31/2025,,
"Westerman, Bruce",AR 004,US HOUSE,Y,1,R,Incumbent,"1,731,087.20","650,053.20","602,568.00","4,114,594.00",0,0,0,0,12/31/2025,,
"Malliotakis, Nicole",NY 011,US HOUSE,Y,1,R,Incumbent,"1,721,378.10","797,822.10","711,961.00","2,269,802.00",0,0,0,0,12/31/2025,,
"Crenshaw, Dan",TX 002,US HOUSE,Y,1,R,Incumbent,"1,701,817.79","1,327,663.79","997,492.00","843,462.00",0,0,0,0,12/31/2025,,
"Kaptur, Marcy",OH 009,US HOUSE,Y,1,D,Incumbent,"1,691,383.00","432,194.00","951,373.00","1,708,115.00",0,0,0,0,12/31/2025,,
"Carbonara, Michael",FL 025,US HOUSE,Y,1,R,Not an Incumbent,"1,690,249.00","1,101,242.00","40,691.00","589,006.00",0,1479908,0,1521723,12/31/2025,,
"Edwards, Amanda",TX 018,US HOUSE,Y,1,D,Not an Incumbent,"1,680,797.28","1,401,445.28","1,662,669.00","280,565.00",21885,0,0,0,1/11/2026,,
"Mannion, John",NY 022,US HOUSE,Y,1,D,Incumbent,"1,675,186.51","468,786.51","1,077,756.00","1,334,641.00",0,0,0,0,12/31/2025,,
"Calvarese, Trisha",CO 004,US HOUSE,Y,1,D,Not an Incumbent,"1,665,095.61","1,198,047.61","1,648,260.00","518,349.00",0,0,0,57894,12/31/2025,,
"Killin, Jessica",CO 005,US HOUSE,Y,1,D,Not an Incumbent,"1,647,671.84","534,560.84","1,359,168.00","1,113,110.00",257433,0,0,0,12/31/2025,,
"Walkinshaw, James",VA 011,US HOUSE,Y,1,D,Incumbent,"1,639,368.92","1,300,524.92","1,094,779.00","338,843.00",0,0,0,0,12/31/2025,,
"Brink, Bridget",MI 007,US HOUSE,Y,1,D,Not an Incumbent,"1,639,079.88","619,247.88","1,603,216.00","1,019,832.00",0,20000,0,20000,12/31/2025,,
"Crow, Jason",CO 006,US HOUSE,Y,1,D,Incumbent,"1,621,121.00","1,034,464.00","1,442,313.00","2,334,950.00",0,0,0,0,12/31/2025,,
"Kingston, James",GA 001,US HOUSE,Y,1,R,Not an Incumbent,"1,617,480.00","228,878.00","1,473,730.00","1,388,601.00",0,0,0,0,12/31/2025,,
"Panetta, Jimmy",CA 019,US HOUSE,Y,1,D,Incumbent,"1,616,270.66","704,620.66","709,613.00","4,626,288.00",0,0,0,0,12/31/2025,,
"Jensen, Brett",TX 008,US HOUSE,Y,1,R,Not an Incumbent,"1,612,227.88","1,199,187.88","6,559.00","413,040.00",105669,1500000,0,1500000,12/31/2025,,
"Wassgren, Paul",WI 007,US HOUSE,Y,1,R,Not an Incumbent,"1,599,982.00","166,638.00","99,982.00","1,433,344.00",0,1500000,0,1500000,12/31/2025,,
"Van Duyne, Beth",TX 024,US HOUSE,Y,1,R,Incumbent,"1,595,502.00","969,865.00","358,319.00","2,586,509.00",0,0,0,0,12/31/2025,,
"Deluzio, Christopher",PA 017,US HOUSE,Y,1,D,Incumbent,"1,576,287.50","988,657.50","1,229,087.00","941,301.00",0,0,0,0,12/31/2025,,
"Underwood, Lauren",IL 014,US HOUSE,Y,1,D,Incumbent,"1,553,935.40","1,438,612.40","1,193,889.00","1,170,425.00",0,0,0,0,12/31/2025,,
"Regnitz, Barb",IN 001,US HOUSE,Y,1,R,Not an Incumbent,"1,553,458.41","85,608.41","52,958.00","1,467,849.00",0,1500000,0,1500000,12/31/2025,,
"Gaines, Houston",GA 010,US HOUSE,Y,1,R,Not an Incumbent,"1,536,838.00","98,227.00","1,476,890.00","1,438,611.00",0,0,0,0,12/31/2025,,
"Moore, Blake",UT 002,US HOUSE,Y,1,R,Incumbent,"1,527,711.00","831,702.00","658,736.00","2,230,032.00",0,0,0,0,12/31/2025,,
"Boyle, Brendan",PA 002,US HOUSE,Y,1,D,Incumbent,"1,520,794.48","546,746.48","372,804.00","4,812,331.00",0,0,0,0,12/31/2025,,
